Site_ID,Date,Flowback_Volume_m3,Pressure_psi,Downtime_hrs,Operator
S04,2024-02-11,102.88,2929.0,1,DeltaOil
S02,2024-02-12,134.71,2839.1,2,DeltaOil
S04,2024-02-13,136.24,2596.8,1,BetaEnergy
S03,2024-02-14,132.36,3139.2,2,DeltaOil
S02,2024-02-15,152.85,2817.5,1,AlphaOps
S03,2024-02-16,123.59,2842.5,1,BetaEnergy
S03,2024-02-17,116.45,2894.7,4,DeltaOil
S02,2024-02-18,141.31,2774.5,2,AlphaOps
S03,2024-02-19,154.36,3165.3,4,DeltaOil
S02,2024-02-20,115.28,3430.7,4,DeltaOil
S02,2024-02-21,136.42,3148.2,2,DeltaOil
S04,2024-02-22,126.55,2732.9,2,BetaEnergy
S01,2024-02-23,124.59,2676.2,0,DeltaOil
S02,2024-02-24,99.66,3091.6,3,BetaEnergy
S04,2024-02-25,156.09,3082.5,2,DeltaOil
S03,2024-02-26,150.28,2962.7,3,DeltaOil
S04,2024-02-27,84.78,3344.1,4,DeltaOil
S04,2024-02-28,97.63,2915.8,2,DeltaOil
S04,2024-02-29,126.35,2723.1,2,AlphaOps
S01,2024-03-01,113.79,3643.1,1,BetaEnergy
S02,2024-03-02,134.96,2792.1,0,DeltaOil
S01,2024-03-03,133.52,2793.9,1,DeltaOil
S04,2024-03-04,99.63,3038.2,1,AlphaOps
S01,2024-03-05,105.45,3172.3,1,AlphaOps
S01,2024-03-06,110.07,3101.0,2,DeltaOil
S02,2024-03-07,97.42,2847.6,3,AlphaOps
S02,2024-03-08,103.82,3015.5,1,BetaEnergy
S03,2024-03-09,125.14,2685.5,2,BetaEnergy
S03,2024-03-10,126.66,2666.1,7,DeltaOil
S02,2024-03-11,158.23,2940.5,3,AlphaOps
S04,2024-03-12,116.53,3051.7,0,DeltaOil
S03,2024-03-13,105.07,2573.2,2,DeltaOil
S04,2024-03-14,109.37,3398.0,2,AlphaOps
S04,2024-03-15,105.23,2701.1,3,AlphaOps
S01,2024-03-16,119.85,3032.0,1,BetaEnergy
S04,2024-03-17,120.99,3065.6,2,DeltaOil
S03,2024-03-18,125.72,3118.7,1,BetaEnergy
S03,2024-03-19,122.16,2996.6,2,AlphaOps
S02,2024-03-20,95.24,3404.9,1,BetaEnergy
S02,2024-03-21,123.02,3465.1,2,BetaEnergy
S01,2024-03-22,123.96,3253.0,2,BetaEnergy
S01,2024-03-23,145.74,2969.5,2,AlphaOps
S02,2024-03-24,162.14,3326.3,2,AlphaOps
S04,2024-03-25,121.39,2957.2,1,AlphaOps
S01,2024-03-26,137.83,3249.7,2,BetaEnergy
S01,2024-03-27,136.39,3149.1,1,BetaEnergy
S01,2024-03-28,120.09,3246.0,0,DeltaOil
S01,2024-03-29,119.41,2968.9,2,BetaEnergy
S01,2024-03-30,138.68,3596.7,6,DeltaOil
S01,2024-03-31,109.53,2491.4,4,DeltaOil
S01,2024-04-01,135.96,3008.3,2,DeltaOil
S02,2024-04-02,150.52,3084.3,2,DeltaOil
S02,2024-04-03,95.06,3081.0,3,AlphaOps
S03,2024-04-04,141.12,2870.9,4,BetaEnergy
S04,2024-04-05,111.25,3011.3,0,BetaEnergy
S01,2024-04-06,146.88,2762.8,0,BetaEnergy
S01,2024-04-07,151.47,3398.6,2,BetaEnergy
S03,2024-04-08,120.19,3002.6,2,DeltaOil
S02,2024-04-09,107.91,3676.4,2,DeltaOil
